Location,Longitude,Latitude
"Ayr, ND",-97.49066,47.041775
"Alberta, MN",-96.04769,45.57366
"Jasper, MN",-96.39906,43.8535
"Ida Grove, IA",-95.47124,42.34542
"St Joseph, MO",-94.85607,39.7666
USG,-90.074615,29.951763
PNW,-123.83471,46.18909
"Barreirias, BA",-44.99496,-12.14769
"Sorriso, MT",-55.714558,-12.558622
"Rio Verde, MT",-54.843852,-18.925394
"Ponta Grossa, PR",-50.159737,-25.091888
"Rondonopolis, MT",-54.62234,-16.46587
"Paranagua, PR",-48.50935,-25.52064
"Santos, SP",-46.32807,-23.96144
"Pecem, CE",-38.80311,-3.532126
