,"Alberta, MN","Ayr, ND",Barreirias,"Ida Grove, IA","Jasper, MN",Ponta Grossa,Rio Verde,Rondonopolis,Sorriso,"St. Joseph, MO"
"Ayr, ND",0.7784054940282971,1.0,0.38766883032165317,0.5133892110514094,0.492607354446284,0.4239110326320429,0.3170869237871302,0.4024048389898165,0.4028035067384161,0.6491841851070864
"Alberta, MN",1.0000000000000002,0.7784054940282971,0.3144292286473414,0.5141429962251669,0.49995187789388623,0.3636908111688089,0.25689960043483195,0.32446523386882636,0.3034391755913356,0.6448117705000506
"Jasper, MN",0.49995187789388623,0.492607354446284,0.11478943664934688,0.22096255639509302,1.0000000000000002,0.18065310216723657,0.12438297376878152,0.1218033999567244,0.14107133936844052,0.4818150441068798
"Ida Grove, IA",0.5141429962251669,0.5133892110514094,0.20049710651204364,1.0,0.22096255639509302,0.26230143265387784,0.1438086786322349,0.19170035532203525,0.1920564591468344,0.5679664982689423
"St. Joseph, MO",0.6448117705000506,0.6491841851070864,0.24493300913652816,0.5679664982689423,0.4818150441068798,0.3203769262593729,0.17759151467181944,0.22035125775950945,0.2535573035683338,0.9999999999999998
Barreirias,0.3144292286473414,0.38766883032165317,1.0,0.20049710651204364,0.11478943664934688,0.5975378318740902,0.5409434395960963,0.5862972165344212,0.6048738859478553,0.24493300913652816
Sorriso,0.3034391755913356,0.4028035067384161,0.6048738859478553,0.1920564591468344,0.14107133936844052,0.6771109429647415,0.5850571237285118,0.7052658459549794,1.0,0.2535573035683338
Rio Verde,0.25689960043483195,0.3170869237871302,0.5409434395960963,0.1438086786322349,0.12438297376878152,0.6223489399963388,1.0,0.6100611147400321,0.5850571237285118,0.17759151467181944
Ponta Grossa,0.3636908111688089,0.4239110326320429,0.5975378318740902,0.26230143265387784,0.18065310216723657,1.0,0.6223489399963388,0.6378480845538672,0.6771109429647415,0.3203769262593729
Rondonopolis,0.32446523386882636,0.4024048389898165,0.5862972165344212,0.19170035532203525,0.1218033999567244,0.6378480845538672,0.6100611147400321,1.0,0.7052658459549794,0.22035125775950945
