Destination,mkt_yr,MMT
AUSTRIA,1920,2.04082e-05
NIGER,1920,2.44898e-05
KUWAIT,1819,2.44898e-05
KENYA,1718,2.44898e-05
HONG KONG,1617,2.44898e-05
AUSTRALIA,1920,2.44898e-05
MALAWI,1920,2.44898e-05
EL SALVADOR,1819,2.44898e-05
SURINAME,1415,2.44898e-05
EL SALVADOR,1718,2.44898e-05
UKRAINE,1718,4.89796e-05
IRELAND,1920,4.89796e-05
JORDAN,1415,7.34694e-05
EL SALVADOR,1617,7.34694e-05
ARGENTINA,1920,9.79592e-05
NIGERIA,1819,9.79592e-05
JORDAN,1617,0.000122449
BELGIUM,1415,0.000122449
MALAWI,1516,0.0001469388
NICARAGUA,1819,0.000244898
HONG KONG,1718,0.000244898
POLAND,1415,0.00026938779999999995
MALDIVES,1718,0.000269388
JORDAN,1920,0.00036734699999999996
UN ARAB EM,1516,0.000367347
FRENCH POLY,1516,0.00044081599999999996
COCOS IS,1718,0.000489796
SRI LANKA,1819,0.000489796
IRAN,1920,0.000489796
ARGENTINA,1516,0.000489796
MALI,1718,0.000489796
QATAR,1718,0.000489796
NEPAL,1718,0.000514285
MALDIVES,1819,0.000563266
SENEGAL,1819,0.000685714
CAMBODIA,1819,0.000857143
JORDAN,1819,0.0008816319999999999
CAMBODIA,1718,0.0009306118
CAMBODIA,1617,0.0009795918
CHILE,1516,0.000979592
INDIA,1617,0.000979592
INDIA,1718,0.001077551
MADAGASCAR,1920,0.0011062646
INDIA,1415,0.00112653
SRI LANKA,1617,0.0011755108
FRENCH POLY,1920,0.0013959177999999998
INDIA,1920,0.0017142864
GUATEMALA,1718,0.002289143
CAMBODIA,1516,0.0024979599999999996
IRELAND,1617,0.002565723
DOMINICN REP,1617,0.0030973971999999996
ZIMBABWE,1415,0.003979278
BELIZE,1415,0.0042094509999999995
SRI LANKA,1516,0.004408163
IRELAND,1718,0.004636960999999999
CAMEROON,1920,0.0046530619999999995
INDIA,1819,0.004653064
BOLIVIA,1415,0.005418467
GHANA,1718,0.005998776
DOMINICN REP,1718,0.006922739800000001
BURMA,1516,0.007126531999999999
MOZAMBIQUE,1920,0.00714858
BURMA,1415,0.007714286599999998
GUYANA,1415,0.008297493999999999
BELIZE,1920,0.008498159
IRELAND,1415,0.008681918
BELGIUM,1516,0.009418586
BURMA,1617,0.009502041800000003
GUATEMALA,1617,0.009892512000000001
CHILE,1617,0.009981641999999999
GEORGIA,1819,0.010491156000000001
HONG KONG,1415,0.010800005600000008
CAMBODIA,1920,0.010824491600000001
EL SALVADOR,1516,0.0122652516
ST. LUCIA,1920,0.012661186999999999
NAMIBIA,1920,0.013737396999999998
GREECE,1617,0.014111283
ST. VINCENT,1920,0.014848698
MOROCCO,1819,0.015567102
ST. VINCENT,1415,0.016318502999999998
GHANA,1415,0.017082277
BURMA,1718,0.018122452000000004
SENEGAL,1415,0.021497312999999997
GUATEMALA,1516,0.021733801
SINGAPORE,1415,0.021996009
HAITI,1415,0.022095999999999998
SINGAPORE,1920,0.022370449
LIBERIA,1920,0.022722067999999998
ISRAEL,1617,0.0234301658
BURMA,1819,0.02429387820000001
DJIBOUTI,1920,0.024995464999999998
HONG KONG,1920,0.025983675599999995
MOROCCO,1718,0.026390752000000003
BARBADOS,1718,0.026571479000000002
DOMINICN REP,1819,0.027271556
SENEGAL,1920,0.027485582999999997
REP S AFRICA,1415,0.027925705799999995
BARBADOS,1617,0.030290662000000003
ZIMBABWE,1920,0.030774416000000002
ALGERIA,1819,0.031207515
GUINEA,1920,0.032026997
BARBADOS,1819,0.032662153
ERITREA,1920,0.032995875
PANAMA,1516,0.034670414
PANAMA,1718,0.035443992
PANAMA,1617,0.0361780992
BARBADOS,1516,0.03732366
VENEZUELA,1617,0.03763771
GREECE,1819,0.038238757000000005
AFGHANISTAN,1415,0.03828029
FRANCE,1920,0.038589418268
NEW ZEALAND,1920,0.040290775599999995
BELGIUM,1718,0.040644698
PANAMA,1819,0.041046609
GUYANA,1920,0.04113314299999999
CUBA,1516,0.04135131
NIGERIA,1718,0.042375746
NICARAGUA,1516,0.042388562
UN ARAB EM,1718,0.043776108800000005
CHILE,1415,0.044113778
CHILE,1819,0.04573635
SOUTH SUDAN,1920,0.046041647
DJIBOUTI,1415,0.047241429
MOROCCO,1617,0.047993667999999996
CUBA,1819,0.048578570999999994
CUBA,1415,0.05121466400000001
NIGERIA,1516,0.05221667199999999
SOMALIA,1920,0.052260517000000006
CUBA,1920,0.052353647
NEW ZEALAND,1415,0.052758341
UN ARAB EM,1920,0.056036074
PORTUGAL,1617,0.057801940999999996
TURKEY,1819,0.063493678
INDIA,1516,0.06560817579999997
BARBADOS,1415,0.066029189
REP S AFRICA,1920,0.066713619
TRINIDAD,1415,0.0669217828
SRI LANKA,1415,0.067783501
SUDAN,1415,0.068427585
AFGHANISTAN,1718,0.068889315
BARBADOS,1920,0.069073597
SRI LANKA,1920,0.069461205
SUDAN,1920,0.071557016
ISRAEL,1516,0.0754364596
LEBANON,1819,0.076594742
NICARAGUA,1415,0.078480377
BELGIUM,1617,0.08010005999999999
ISRAEL,1718,0.08300565580000001
FRANCE,1819,0.08399414
ALGERIA,1415,0.08716792400000001
CUBA,1617,0.096018186
KENYA,1415,0.10074172199999999
ECUADOR,1415,0.10310486399999999
CUBA,1718,0.10371519800000001
HAITI,1920,0.104644203
VENEZUELA,1718,0.10562385499999999
MOROCCO,1516,0.110054903
ROMANIA,1819,0.113456717
ISRAEL,1415,0.11709411759999999
FRANCE,1415,0.11828132400000001
NEPAL,1819,0.11997554399999978
UN KINGDOM,1718,0.123334322
YEMEN,1415,0.124907338
UN KINGDOM,1617,0.13028743799999998
FRANCE,1617,0.130882939
TRINIDAD,1920,0.130908658
JAMAICA,1415,0.133763281
BURMA,1920,0.13456502179999993
FRANCE,1718,0.135749695
ETHIOPIA,1415,0.137105123
SAUDI ARABIA,1718,0.137363939
PERU,1617,0.13835926979999996
ISRAEL,1819,0.142294327
IRAN,1617,0.147486109
NEPAL,1920,0.14786941579999974
PHILIPPINES,1819,0.14862690819999952
PHILIPPINES,1718,0.14988815419999968
ITALY,1617,0.149947307
LEBANON,1920,0.15124865999999998
GERMANY,1617,0.15632807399999998
PHILIPPINES,1516,0.1613162005999999
PAKISTAN,1516,0.16333830800000002
BRAZIL,1920,0.164802585
ETHIOPIA,1920,0.167149672
MOROCCO,1920,0.1677116336
VENEZUELA,1516,0.173733832
PHILIPPINES,1617,0.17881585419999976
GERMANY,1516,0.18598325
IRAN,1516,0.186565005
UN KINGDOM,1920,0.1927987476
GERMANY,1819,0.19878556
ARGENTINA,1718,0.203573546
PORTUGAL,1516,0.20845802600000002
NICARAGUA,1920,0.20850804900000003
TUNISIA,1617,0.215550237
CANADA,1920,0.2179081102
TUNISIA,1415,0.220720564
HONDURAS,1415,0.223446196
PANAMA,1415,0.22720082300000005
BELGIUM,1819,0.22849137999999997
ITALY,1516,0.229846789
PERU,1718,0.236276686
JAMAICA,1920,0.253790165
YEMEN,1920,0.260389823
MOROCCO,1415,0.2650292982
FRANCE,1516,0.270949531
PORTUGAL,1920,0.27349900099999996
ALGERIA,1920,0.273935265
PERU,1819,0.274568131
EL SALVADOR,1415,0.2823852476
SAUDI ARABIA,1617,0.284393507
ECUADOR,1920,0.28509313999999997
CHILE,1920,0.285697906
GERMANY,1718,0.294301286
DOMINICN REP,1415,0.29474368399999984
COSTA RICA,1718,0.298950888
TUNISIA,1819,0.301045509
COSTA RICA,1819,0.30310947299999996
PERU,1516,0.303477705
COSTA RICA,1617,0.304303334
ITALY,1718,0.31957000300000005
UN KINGDOM,1819,0.319648998
TURKEY,1617,0.32002350300000004
SAUDI ARABIA,1819,0.32483899699999996
COSTA RICA,1516,0.327955394
UN KINGDOM,1516,0.330500136
ITALY,1415,0.3376185829999999
SAUDI ARABIA,1516,0.354383184
UN KINGDOM,1415,0.3556392476
TUNISIA,1718,0.370489889
PORTUGAL,1819,0.39780617000000007
MALAYSIA,1617,0.41183972320000073
EL SALVADOR,1920,0.42384706559999996
PORTUGAL,1718,0.44176837
SAUDI ARABIA,1415,0.45054381100000007
IRAN,1819,0.45167165499999995
MALAYSIA,1718,0.4597286036999982
RUSSIA,1415,0.46254515199999996
CANADA,1718,0.470836765
PANAMA,1920,0.47172757760000006
MALAYSIA,1516,0.475772882199999
TUNISIA,1516,0.47578224900000005
TURKEY,1718,0.48206592000000004
VENEZUELA,1920,0.4835824620000001
VENEZUELA,1415,0.49584519699999985
BRAZIL,1415,0.4981080606
THAILAND,1516,0.5038110843999977
PAKISTAN,1617,0.5293553281999999
GUATEMALA,1415,0.530831033
MALAYSIA,1415,0.5331197597999995
PORTUGAL,1415,0.5353464170000001
COLOMBIA,1617,0.5365185439999999
CANADA,1819,0.5480878860000001
IRAN,1718,0.5509055709999999
ITALY,1819,0.5632580546
COLOMBIA,1718,0.5820361019999999
NIGERIA,1415,0.5878571739999998
ISRAEL,1920,0.588869144
MALAYSIA,1819,0.5938798105999976
COLOMBIA,1819,0.6212703869999998
PAKISTAN,1415,0.628612608
NIGERIA,1920,0.6347504124000001
DOMINICN REP,1920,0.635341654
GERMANY,1415,0.647439447
VIETNAM,1617,0.6635300650000007
KOREA REP,1617,0.6666771266000016
VIETNAM,1819,0.6760760868000014
SPAIN,1617,0.676273224
CANADA,1617,0.67629962
KOREA REP,1718,0.6795654885000002
ITALY,1920,0.6847552842
SPAIN,1718,0.700347291
HONDURAS,1920,0.7035275740000001
TUNISIA,1920,0.713076762
COLOMBIA,1516,0.7197759610000001
KOREA REP,1516,0.7204422784000004
TURKEY,1516,0.738866821
CANADA,1415,0.7559500681999998
EGYPT,1516,0.760002372
COSTA RICA,1415,0.7702525113999998
BANGLADESH,1516,0.7714070676000002
RUSSIA,1516,0.818441038
CANADA,1516,0.8240455420000001
EGYPT,1617,0.844304752
BANGLADESH,1819,0.8778642546000003
THAILAND,1617,0.8879324910027181
THAILAND,1415,0.9214781132000042
BANGLADESH,1415,0.9244702622000001
MALAYSIA,1920,0.9883907390000021
BANGLADESH,1718,0.9974830010000002
PHILIPPINES,1415,1.0359658907999991
BANGLADESH,1617,1.0469228722
PERU,1920,1.0544141059999999
KOREA REP,1819,1.0785713380000013
PAKISTAN,1819,1.08147042
SAUDI ARABIA,1920,1.0817251122
TURKEY,1415,1.0881495970000004
VIETNAM,1516,1.1066518608000053
COSTA RICA,1920,1.1214528926
SPAIN,1415,1.1289495058
VIETNAM,1718,1.149653654600003
GUATEMALA,1920,1.1705616379999997
VIETNAM,1415,1.2747076752000002
PAKISTAN,1920,1.323931174
CHINA T,1617,1.3258002838000218
EGYPT,1415,1.333541922
THAILAND,1718,1.3542556040000124
THAILAND,1819,1.4597739958000049
VIETNAM,1920,1.5577085311199903
PAKISTAN,1718,1.594180754
PERU,1415,1.5981524023999996
PHILIPPINES,1920,1.6800884506000002
SPAIN,1920,1.760765535
KOREA REP,1415,1.7746067234000058
CHINA T,1718,1.8204211424600394
CHINA T,1819,1.8429944217000156
THAILAND,1920,1.858030784200027
SPAIN,1516,1.8939250570000001
CHINA T,1516,1.8943398634000246
ARGENTINA,1819,1.9375232110000005
JAPAN,1718,1.9566214089999996
JAPAN,1819,2.044498266999997
JAPAN,1617,2.0814190588000034
INDONESIA,1819,2.3777459532000402
EGYPT,1718,2.4085181560000004
INDONESIA,1718,2.4415739650000505
INDONESIA,1617,2.4504657423000475
COLOMBIA,1415,2.4955052780000013
SPAIN,1819,2.523458333
JAPAN,1516,2.5685474034000033
BANGLADESH,1920,2.6942390320000014
EGYPT,1819,2.786079385
INDONESIA,1516,2.8070722214000696
CHINA T,1415,2.876918035600022
NETHERLANDS,1617,3.1214218720000004
NETHERLANDS,1819,3.268674544000001
NETHERLANDS,1718,3.5525795460000005
NETHERLANDS,1920,3.5587113169999993
MEXICO,1617,3.5741753303999997
CHINA T,1920,3.6365512793001415
INDONESIA,1415,3.6512227084001188
INDONESIA,1920,3.829493062900105
KOREA REP,1920,4.0590562927999985
NETHERLANDS,1415,4.188066011000001
MEXICO,1718,4.217877622099995
MEXICO,1819,4.6578075098000005
MEXICO,1516,4.757903938199982
COLOMBIA,1920,4.924295907999998
NETHERLANDS,1516,5.347088501000001
EGYPT,1920,6.0457385819999985
JAPAN,1415,7.1200814060000095
MEXICO,1415,9.336504953100047
JAPAN,1920,12.844272167799955
CHINA MAIN,1819,13.371046250600003
MEXICO,1920,17.75660010070001
CHINA MAIN,1920,25.098833303599985
CHINA MAIN,1718,27.822731644599955
CHINA MAIN,1617,35.909366454400065
CHINA MAIN,1415,40.446964224199704
CHINA MAIN,1516,49.26055660639987
