Date,US_Export_China_log,BRA_USD_log
1/1/2013,8.437283808187935,0.7080357930536959
2/1/2013,7.852944400898941,0.6780335427498971
3/1/2013,6.968097507988299,0.6830968447064438
4/1/2013,6.5267876424743605,0.6931471805599453
5/1/2013,5.582367852765768,0.712949807856125
6/1/2013,0.0,0.7747271675523681
7/1/2013,0.0,0.8109302162163288
8/1/2013,0.0,0.8544153281560676
9/1/2013,5.68833037009728,0.8197798314933114
10/1/2013,8.408895031771069,0.7839015438284094
11/1/2013,8.95994123897044,0.8329091229351039
12/1/2013,8.415691886084131,0.8544153281560676
1/1/2014,8.571624556904275,0.8671004876833833
2/1/2014,8.278885239582255,0.8671004876833833
3/1/2014,7.608225579921863,0.8458682675776092
4/1/2014,6.557772180332977,0.8020015854720274
5/1/2014,2.6946271807700692,0.7975071958841882
6/1/2014,1.9740810260220096,0.8064758658669485
7/1/2014,1.308332819650179,0.7975071958841882
8/1/2014,4.096009841541162,0.8197798314933114
9/1/2014,5.41610040220442,0.85015092936961
10/1/2014,8.506597252202834,0.8960880245566357
11/1/2014,9.034652761818268,0.9360933591703348
12/1/2014,8.658744835666981,0.9707789171582248
1/1/2015,8.393170730969835,0.9669838461896731
2/1/2015,8.29066893194255,1.0367368849500223
3/1/2015,7.080194835921641,1.144222799920162
4/1/2015,6.747938577528252,1.1118575154181303
5/1/2015,1.7404661748405046,1.1184149159642893
6/1/2015,4.087655574071304,1.1346227261911428
7/1/2015,2.174751721484161,1.169381359556317
8/1/2015,1.33500106673234,1.2556160374777743
9/1/2015,5.186826990514674,1.3609765531356006
10/1/2015,8.66707764095353,1.355835153635182
11/1/2015,8.808638175228547,1.3297240096314962
12/1/2015,8.52868688512745,1.3532545070416904
1/1/2016,8.197566272381804,1.3987168811184478
2/1/2016,8.110246987026274,1.3787660946990992
3/1/2016,7.647213362405333,1.3056264580524357
4/1/2016,4.361823927356363,1.2669476034873244
5/1/2016,1.824549292051046,1.264126727145683
6/1/2016,4.26549281841793,1.2296405510745139
7/1/2016,6.446037229323174,1.1878434223960523
8/1/2016,7.286739509840704,1.1662709371419244
9/1/2016,7.710787723071325,1.1817271953786161
10/1/2016,8.76142481799407,1.1600209167967532
11/1/2016,9.056862798895075,1.205970806988609
12/1/2016,8.88440245406987,1.208960345836975
1/1/2017,8.237823144832223,1.1631508098056809
2/1/2017,8.027084809238968,1.1314021114911006
3/1/2017,7.547343442447519,1.1410330045520618
4/1/2017,6.96969668052232,1.144222799920162
5/1/2017,5.8771754007058545,1.1662709371419244
6/1/2017,6.067730902561432,1.1939224684724346
7/1/2017,5.8585044198517515,1.1631508098056809
8/1/2017,6.93896320610633,1.1474024528375417
9/1/2017,7.620361890698302,1.144222799920162
10/1/2017,8.379952069102732,1.1631508098056809
11/1/2017,9.057969773530223,1.1817271953786161
12/1/2017,8.275376374836407,1.1939224684724346
1/1/2018,7.916296970560399,1.1662709371419244
2/1/2018,7.925482838909783,1.1755733298042381
3/1/2018,7.320460778745796,1.1878434223960523
4/1/2018,6.039540170339545,1.2267122912954254
5/1/2018,6.275138598162224,1.2892326482767593
6/1/2018,6.285439279182783,1.3297240096314962
7/1/2018,4.885827643502908,1.3402504226184837
8/1/2018,4.872904620630176,1.3686394258811698
9/1/2018,4.204692619390966,1.4134230285081433
10/1/2018,4.903050083416319,1.324418957401803
11/1/2018,5.324472324024888,1.332366019094335
12/1/2018,0.4054651081081644,1.358409157630355
1/1/2019,4.890349128221754,1.3164082336557241
2/1/2019,7.942077904433863,1.3137236682850553
3/1/2019,7.239717360125464,1.3480731482996928
4/1/2019,6.742054823204418,1.3609765531356006
5/1/2019,6.925791641468236,1.3862943611198906
6/1/2019,7.384237874325581,1.3506671834767394
7/1/2019,7.256932182743513,1.3297240096314962
8/1/2019,7.891181157841129,1.3937663759585917
9/1/2019,7.242797922793756,1.415853163361435
10/1/2019,6.9283419125905255,1.4085449700547104
11/1/2019,8.273744886761664,1.425515074273172
12/1/2019,8.037672417478658,1.4134230285081433
